element_type,now_cost,team_code,total_points,web_name
1,52,90,170,Pope
1,55,13,156,Schmeichel
1,49,31,137,Guaita
1,52,11,117,Pickford
2,46,49,144,Lundstram
2,65,14,178,van Dijk
2,77,14,210,Alexander-Arnold
2,46,49,123,Basham
2,48,36,128,Dunk
2,55,90,143,Tarkowski
2,55,39,123,Jonny
2,46,4,102,Fernández
2,47,39,103,Saïss
2,53,1,116,Lindelöf
3,59,7,149,Grealish
3,106,43,251,De Bruyne
3,85,1,200,Martial
3,44,39,100,Dendoncker
3,47,21,105,Rice
3,52,14,116,Henderson
3,60,13,129,Pérez
3,47,49,101,Fleck
3,55,90,118,Westwood
3,125,14,233,Salah
3,121,14,221,Mané
3,120,43,204,Sterling
4,76,20,198,Ings
4,51,31,132,Ayew
4,97,13,210,Vardy
4,48,1,103,Greenwood
4,109,3,205,Aubameyang
